name	desc	leng
TIGR00981	rpsL_bact: ribosomal protein S12	124
TIGR00982	S23_S12_E_A: ribosomal protein S23 (S12)	139
TIGR00983	3a0801s02tim23: mitochondrial import inner membrane translocase subunit	149
TIGR00984	3a0801s03tim44: mitochondrial import inner membrane, translocase subunit	376
TIGR00985	3a0801s04tom: mitochondrial import receptor subunit	148
TIGR00986	3a0801s05tom22: mitochondrial import receptor subunit	145
TIGR00987	himA: integration host factor, alpha subunit	96
TIGR00988	hip: integration host factor, beta subunit	94
TIGR00989	3a0801s07tom40: mitochondrial import receptor subunit	161
TIGR00990	3a0801s09: mitochondrial precursor proteins import receptor	615
TIGR00991	3a0901s02IAP34: GTP-binding protein	313
TIGR00992	3a0901s03IAP75: chloroplast envelope protein translocase, IAP75 family	718
TIGR00993	3a0901s04IAP86: chloroplast protein import component Toc86/159, G and M domains	763
TIGR00994	3a0901s05TIC20: chloroplast protein import component, Tic20 family	267
TIGR00995	3a0901s06TIC22: chloroplast protein import component, Tic22 family	270
TIGR00996	Mtu_fam_mce: virulence factor Mce family protein	291
TIGR00997	ispZ: intracellular septation protein A	178
TIGR00998	8a0101: efflux pump membrane protein	334
TIGR00999	8a0102: membrane fusion protein cluster 2 protein	271
TIGR01000	bacteriocin_acc: bacteriocin secretion accessory protein	457
TIGR01001	metA: homoserine O-succinyltransferase	301
TIGR01002	hlyII: beta-channel forming cytolysin	313
TIGR01003	PTS_HPr_family: phosphocarrier, HPr family	82
TIGR01004	PulS_OutS: lipoprotein, PulS/OutS family	128
TIGR01005	eps_transp_fam: exopolysaccharide transport protein family	754
TIGR01006	polys_exp_MPA1: polysaccharide export protein, MPA1 family	226
TIGR01007	eps_fam: capsular exopolysaccharide family	204
TIGR01008	rpsC_E_A: ribosomal protein S3	195
TIGR01009	rpsC_bact: ribosomal protein S3	212
TIGR01010	BexC_CtrB_KpsE: polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family	362
TIGR01011	rpsB_bact: ribosomal protein S2	225
TIGR01012	Sa_S2_E_A: ribosomal protein S2	196
TIGR01013	2a58: sodium-dependent inorganic phosphate (Pi) transporter	456
TIGR01015	hmgA: homogentisate 1,2-dioxygenase	429
TIGR01016	sucCoAbeta: succinate-CoA ligase, beta subunit	386
TIGR01017	rpsD_bact: ribosomal protein S4	200
TIGR01018	rpsD_arch: ribosomal protein S4	162
TIGR01019	sucCoAalpha: succinate-CoA ligase, alpha subunit	286
TIGR01020	rpsE_arch: ribosomal protein S5	212
TIGR01021	rpsE_bact: ribosomal protein S5	156
TIGR01022	rpmJ_bact: ribosomal protein L36	37
TIGR01023	rpmG_bact: ribosomal protein L33	56
TIGR01024	rplS_bact: ribosomal protein L19	114
TIGR01025	rpsS_arch: ribosomal protein S19	135
TIGR01026	fliI_yscN: ATPase FliI/YscN family	440
TIGR01027	proB: glutamate 5-kinase	363
TIGR01028	S7_S5_E_A: ribosomal protein S7	186
TIGR01029	rpsG_bact: ribosomal protein S7	154
TIGR01030	rpmH_bact: ribosomal protein L34	44
TIGR01031	rpmF_bact: ribosomal protein L32	56
TIGR01032	rplT_bact: ribosomal protein L20	114
TIGR01033	TIGR01033: DNA-binding regulatory protein, YebC/PmpR family	238
TIGR01034	metK: methionine adenosyltransferase	377
TIGR01035	hemA: glutamyl-tRNA reductase	416
TIGR01036	pyrD_sub2: dihydroorotate dehydrogenase (fumarate)	356
TIGR01037	pyrD_sub1_fam: dihydroorotate dehydrogenase family protein	300
TIGR01038	L22_arch: ribosomal protein L22	148
TIGR01039	atpD: ATP synthase F1, beta subunit	462
TIGR01040	V-ATPase_V1_B: V-type ATPase, B subunit	467
TIGR01041	ATP_syn_B_arch: ATP synthase archaeal, B subunit	458
TIGR01042	V-ATPase_V1_A: V-type ATPase, A subunit	591
TIGR01043	ATP_syn_A_arch: ATP synthase archaeal, A subunit	580
TIGR01044	rplV_bact: ribosomal protein L22	103
TIGR01045	RPE1: rickettsial palindromic element RPE1 domain	48
TIGR01046	S10_Arc_S20_Euk: ribosomal protein S10	99
TIGR01047	nspC: carboxynorspermidine decarboxylase	380
TIGR01048	lysA: diaminopimelate decarboxylase	417
TIGR01049	rpsJ_bact: ribosomal protein S10	99
TIGR01050	rpsS_bact: ribosomal protein S19	92
TIGR01051	topA_bact: DNA topoisomerase I	632
TIGR01052	top6b: DNA topoisomerase VI, B subunit	488
TIGR01053	LSD1: zinc finger domain, LSD1 subclass	31
TIGR01054	rgy: reverse gyrase	1172
TIGR01055	parE_Gneg: DNA topoisomerase IV, B subunit	625
TIGR01056	topB: DNA topoisomerase III	706
TIGR01057	topA_arch: DNA topoisomerase I	618
TIGR01058	parE_Gpos: DNA topoisomerase IV, B subunit	637
TIGR01059	gyrB: DNA gyrase, B subunit	639
TIGR01060	eno: phosphopyruvate hydratase	425
TIGR01061	parC_Gpos: DNA topoisomerase IV, A subunit	737
TIGR01062	parC_Gneg: DNA topoisomerase IV, A subunit	735
TIGR01063	gyrA: DNA gyrase, A subunit	800
TIGR01064	pyruv_kin: pyruvate kinase	476
TIGR01065	hlyIII: channel protein, hemolysin III family	204
TIGR01066	rplM_bact: ribosomal protein L13	141
TIGR01067	rplN_bact: ribosomal protein L14	122
TIGR01068	thioredoxin: thioredoxin	101
TIGR01069	mutS2: MutS2 family protein	771
TIGR01070	mutS1: DNA mismatch repair protein MutS	840
TIGR01071	rplO_bact: ribosomal protein L15	144
TIGR01072	murA: UDP-N-acetylglucosamine 1-carboxyvinyltransferase	416
TIGR01073	pcrA: ATP-dependent DNA helicase PcrA	725
TIGR01074	rep: ATP-dependent DNA helicase Rep	668
TIGR01075	uvrD: DNA helicase II	715
TIGR01076	sortase_fam: sortase	136
TIGR01077	L13_A_E: ribosomal protein L13	141
TIGR01078	arcA: arginine deiminase	408
TIGR01079	rplX_bact: ribosomal protein L24	104
TIGR01080	rplX_A_E: ribosomal protein L24	116
TIGR01081	mpl: UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	448
TIGR01082	murC: UDP-N-acetylmuramate--alanine ligase	449
TIGR01083	nth: endonuclease III	192
TIGR01084	mutY: A/G-specific adenine glycosylase	277
TIGR01085	murE: UDP-N-acetylmuramyl-tripeptide synthetase	472
TIGR01086	fucA: L-fuculose phosphate aldolase	214
TIGR01087	murD: UDP-N-acetylmuramoylalanine--D-glutamate ligase	441
TIGR01088	aroQ: 3-dehydroquinate dehydratase, type II	141
TIGR01089	fucI: L-fucose isomerase	587
TIGR01090	apt: adenine phosphoribosyltransferase	169
TIGR01091	upp: uracil phosphoribosyltransferase	207
TIGR01092	P5CS: delta l-pyrroline-5-carboxylate synthetase	715
TIGR01093	aroD: 3-dehydroquinate dehydratase, type I	229
TIGR01096	3A0103s03R: lysine-arginine-ornithine-binding periplasmic protein	250
TIGR01097	PhnE: phosphonate ABC transporter, permease protein PhnE	252
TIGR01098	3A0109s03R: phosphate/phosphite/phosphonate ABC transporters, periplasmic binding protein	253
TIGR01099	galU: UTP-glucose-1-phosphate uridylyltransferase	261
TIGR01100	V_ATP_synt_C: V-type ATPase, C subunit	108
TIGR01101	V_ATP_synt_F: V-type ATPase, F subunit	121
TIGR01102	yscR: type III secretion apparatus protein, YscR/HrcR family	202
TIGR01103	fliP: flagellar biosynthetic protein FliP	197
TIGR01104	V_PPase: V-type H(+)-translocating pyrophosphatase	697
TIGR01105	galF: regulatory protein GalF	297
TIGR01106	ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit	997
TIGR01107	Na_K_ATPase_bet: Na+/K+ ATPase, beta subunit	290
TIGR01108	oadA: oxaloacetate decarboxylase alpha subunit	582
TIGR01109	Na_pump_decarbB: sodium ion-translocating decarboxylase, beta subunit	354
TIGR01110	mdcA: malonate decarboxylase, alpha subunit	543
TIGR01111	mtrA: tetrahydromethanopterin S-methyltransferase, subunit A	238
TIGR01112	mtrD: tetrahydromethanopterin S-methyltransferase, subunit D	223
TIGR01113	mtrE: tetrahydromethanopterin S-methyltransferase, subunit E	283
TIGR01114	mtrH: N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit H	314
TIGR01115	pufM: photosynthetic reaction center M subunit	305
TIGR01116	ATPase-IIA1_Ca: calcium-translocating P-type ATPase, SERCA-type	799
TIGR01117	mmdA: methylmalonyl-CoA decarboxylase alpha subunit	512
TIGR01118	lacA: galactose-6-phosphate isomerase, LacA subunit	141
TIGR01119	lacB: galactose-6-phosphate isomerase, LacB subunit	171
TIGR01120	rpiB: ribose 5-phosphate isomerase B	143
TIGR01121	D_amino_aminoT: D-amino-acid transaminase	276
TIGR01122	ilvE_I: branched-chain amino acid aminotransferase	298
TIGR01123	ilvE_II: branched-chain amino acid aminotransferase	313
TIGR01124	ilvA_2Cterm: threonine ammonia-lyase, biosynthetic	499
TIGR01125	TIGR01125: ribosomal protein S12 methylthiotransferase RimO	432
TIGR01126	pdi_dom: protein disulfide-isomerase domain	105
TIGR01127	ilvA_1Cterm: threonine ammonia-lyase	380
TIGR01128	holA: DNA polymerase III, delta subunit	314
TIGR01129	secD: protein-export membrane protein SecD	397
TIGR01130	ER_PDI_fam: protein disulfide isomerase	476
TIGR01131	ATP_synt_6_or_A: ATP synthase F0, A subunit	227
TIGR01132	pgm: phosphoglucomutase, alpha-D-glucose phosphate-specific	546
TIGR01133	murG: undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	353
TIGR01134	purF: amidophosphoribosyltransferase	432
TIGR01135	glmS: glutamine-fructose-6-phosphate transaminase (isomerizing)	607
TIGR01136	cysKM: cysteine synthase	299
TIGR01137	cysta_beta: cystathionine beta-synthase	457
TIGR01138	cysM: cysteine synthase B	290
TIGR01139	cysK: cysteine synthase A	298
TIGR01140	L_thr_O3P_dcar: threonine-phosphate decarboxylase	331
TIGR01141	hisC: histidinol-phosphate transaminase	349
TIGR01142	purT: phosphoribosylglycinamide formyltransferase 2	380
TIGR01143	murF: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	418
TIGR01144	ATP_synt_b: ATP synthase F0, B subunit	147
TIGR01145	ATP_synt_delta: ATP synthase F1, delta subunit	172
TIGR01146	ATPsyn_F1gamma: ATP synthase F1, gamma subunit	286
TIGR01147	V_ATP_synt_G: V-type ATPase, G subunit	113
TIGR01148	mtrC: tetrahydromethanopterin S-methyltransferase, subunit C	264
TIGR01149	mtrG: tetrahydromethanopterin S-methyltransferase, subunit G	70
TIGR01150	puhA: photosynthetic reaction center H subunit	252
TIGR01151	psbA: photosystem II q(b) protein	360
TIGR01152	psbD: photosystem II D2 protein (photosystem q(a) protein)	352
TIGR01153	psbC: photosystem II 44 kDa subunit reaction center protein	432
TIGR01156	cytb6/f_IV: cytb6/f complex subunit IV	160
TIGR01157	pufL: photosynthetic reaction center L subunit	239
TIGR01158	SUI1_rel: putative translation initiation factor SUI1	102
TIGR01159	DRP1: density-regulated protein DRP1	168
TIGR01160	SUI1_MOF2: translation initiation factor SUI1	110
TIGR01161	purK: phosphoribosylaminoimidazole carboxylase, ATPase subunit	362
TIGR01162	purE: phosphoribosylaminoimidazole carboxylase, catalytic subunit	156
TIGR01163	rpe: ribulose-phosphate 3-epimerase	211
TIGR01164	rplP_bact: ribosomal protein L16	126
TIGR01165	cbiN: cobalt transport protein	91
TIGR01166	cbiO: cobalt ABC transporter, ATP-binding protein	190
TIGR01167	LPXTG_anchor: LPXTG cell wall anchor domain	34
TIGR01168	YSIRK_signal: gram-positive signal peptide, YSIRK family	40
TIGR01169	rplA_bact: ribosomal protein L1	227
TIGR01170	rplA_mito: ribosomal protein L1, mitochondrial	140
TIGR01171	rplB_bact: ribosomal protein L2	275
TIGR01172	cysE: serine O-acetyltransferase	162
TIGR01173	glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase	452
TIGR01174	ftsA: cell division protein FtsA	371
TIGR01175	pilM: type IV pilus assembly protein PilM	348
TIGR01176	fum_red_Fp: fumarate reductase, flavoprotein subunit	580
TIGR01177	TIGR01177: TIGR01177 family protein	330
TIGR01178	ade: adenine deaminase	552
TIGR01179	galE: UDP-glucose 4-epimerase GalE	332
TIGR01180	aman2_put: putative alpha-1,2-mannosidase	749
TIGR01181	dTDP_gluc_dehyt: dTDP-glucose 4,6-dehydratase	321
TIGR01182	eda: 2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	204
TIGR01183	ntrB: nitrate ABC transporter, permease protein	202
TIGR01184	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D	230
TIGR01185	devC: ABC exporter transmembrane subunit, DevC protein	380
TIGR01186	proV: glycine betaine/L-proline transport ATP binding subunit	363
TIGR01187	potA: polyamine ABC transporter, ATP-binding protein	325
TIGR01188	drrA: daunorubicin resistance ABC transporter, ATP-binding protein	302
TIGR01189	ccmA: heme ABC exporter, ATP-binding protein CcmA	198
TIGR01190	ccmB: heme exporter protein CcmB	211
TIGR01191	ccmC: heme exporter protein CcmC	184
TIGR01192	chvA: glucan exporter ATP-binding protein	585
TIGR01193	bacteriocin_ABC: ABC-type bacteriocin transporter	708
TIGR01194	cyc_pep_trnsptr: cyclic peptide transporter	554
TIGR01195	oadG_fam: sodium pump decarboxylases, gamma subunit	84
TIGR01196	edd: phosphogluconate dehydratase	601
TIGR01197	nramp: metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family	390
TIGR01198	pgl: 6-phosphogluconolactonase	234
TIGR01200	GLPGLI: GLPGLI family protein	229
TIGR01201	HU_rel: putative DNA-binding protein	170
TIGR01202	bchC: chlorophyll synthesis pathway protein BchC	308
TIGR01203	HGPRTase: hypoxanthine phosphoribosyltransferase	167
TIGR01204	bioW: 6-carboxyhexanoate--CoA ligase	232
TIGR01205	D_ala_D_alaTIGR: D-alanine--D-alanine ligase	318
TIGR01206	lysW: lysine biosynthesis protein LysW	54
TIGR01207	rmlA: glucose-1-phosphate thymidylyltransferase	286
TIGR01208	rmlA_long: glucose-1-phosphate thymidylyltransferase	353
TIGR01209	TIGR01209: RNA ligase, Pab1020 family	375
TIGR01210	TIGR01210: TIGR01210 family protein	313
TIGR01211	ELP3: histone acetyltransferase, ELP3 family	522
TIGR01212	TIGR01212: radical SAM protein, TIGR01212 family	302
TIGR01213	pseudo_Pus10arc: tRNA pseudouridine(54/55) synthase	387
TIGR01214	rmlD: dTDP-4-dehydrorhamnose reductase	285
TIGR01215	minE: cell division topological specificity factor MinE	81
TIGR01216	ATP_synt_epsi: ATP synthase F1, epsilon subunit	130
TIGR01217	ac_ac_CoA_syn: acetoacetate-CoA ligase	652
TIGR01218	Gpos_tandem_5TM: tandem five-TM protein	208
TIGR01219	Pmev_kin_ERG8: phosphomevalonate kinase	456
TIGR01220	Pmev_kin_Gr_pos: phosphomevalonate kinase	358
TIGR01221	rmlC: dTDP-4-dehydrorhamnose 3,5-epimerase	176
TIGR01222	minC: septum site-determining protein MinC	226
TIGR01223	Pmev_kin_anim: phosphomevalonate kinase	185
TIGR01224	hutI: imidazolonepropionase	377
TIGR01225	hutH: histidine ammonia-lyase	506
TIGR01226	phe_am_lyase: phenylalanine ammonia-lyase	680
TIGR01227	hutG: formimidoylglutamase	307
TIGR01228	hutU: urocanate hydratase	545
TIGR01229	rocF_arginase: arginase	300
TIGR01230	agmatinase: agmatinase	275
TIGR01231	lacC: tagatose-6-phosphate kinase	310
TIGR01232	lacD: tagatose 1,6-diphosphate aldolase	325
TIGR01233	lacG: 6-phospho-beta-galactosidase	472
TIGR01234	L-ribulokinase: L-ribulokinase	536
TIGR01235	pyruv_carbox: pyruvate carboxylase	1143
TIGR01236	D1pyr5carbox1: 1-pyrroline-5-carboxylate dehydrogenase	533
TIGR01237	D1pyr5carbox2: putative delta-1-pyrroline-5-carboxylate dehydrogenase	511
TIGR01238	D1pyr5carbox3: delta-1-pyrroline-5-carboxylate dehydrogenase	500
TIGR01239	galT_2: galactose-1-phosphate uridylyltransferase	489
TIGR01240	mevDPdecarb: diphosphomevalonate decarboxylase	305
TIGR01241	FtsH_fam: ATP-dependent metallopeptidase HflB	496
TIGR01242	26Sp45: 26S proteasome subunit P45 family	364
TIGR01243	CDC48: AAA family ATPase, CDC48 subfamily	733
TIGR01244	TIGR01244: TIGR01244 family protein	135
TIGR01245	trpD: anthranilate phosphoribosyltransferase	330
TIGR01246	dapE_proteo: succinyl-diaminopimelate desuccinylase	370
TIGR01247	drrB: daunorubicin resistance ABC transporter membrane protein	236
TIGR01248	drrC: daunorubicin resistance protein C	152
TIGR01249	pro_imino_pep_1: prolyl aminopeptidase	307
TIGR01250	pro_imino_pep_2: proline-specific peptidase	288
TIGR01251	ribP_PPkin: ribose-phosphate diphosphokinase	309
TIGR01252	acetolac_decarb: alpha-acetolactate decarboxylase	232
TIGR01253	thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein	519
TIGR01254	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	306
TIGR01255	pyr_form_ly_1: formate acetyltransferase	744
TIGR01256	modA: molybdate ABC transporter, periplasmic molybdate-binding protein	217
TIGR01257	rim_protein: rim ABC transporter	2272
TIGR01258	pgm_1: phosphoglycerate mutase 1 family	245
TIGR01259	comE: comEA protein	120
TIGR01260	ATP_synt_c: ATP synthase F0, C subunit	58
TIGR01261	hisB_Nterm: histidinol-phosphatase	161
TIGR01262	maiA: maleylacetoacetate isomerase	211
TIGR01263	4HPPD: 4-hydroxyphenylpyruvate dioxygenase	353
TIGR01264	tyr_amTase_E: tyrosine aminotransferase	403
TIGR01265	tyr_nico_aTase: tyrosine/nicotianamine family aminotransferase	403
TIGR01266	fum_ac_acetase: fumarylacetoacetase	420
TIGR01267	Phe4hydrox_mono: phenylalanine-4-hydroxylase	248
TIGR01268	Phe4hydrox_tetr: phenylalanine-4-hydroxylase	436
TIGR01269	Tyr_3_monoox: tyrosine 3-monooxygenase	457
TIGR01270	Trp_5_monoox: tryptophan 5-monooxygenase	464
TIGR01271	CFTR_protein: cystic fibrosis transmembrane conductor regulator (CFTR)	1490
TIGR01272	gluP: glucose/galactose transporter WARNING	310
TIGR01273	speA: arginine decarboxylase	624
TIGR01274	ACC_deam: 1-aminocyclopropane-1-carboxylate deaminase	337
TIGR01275	ACC_deam_rel: pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family	321
TIGR01276	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	324
TIGR01277	thiQ: thiamine ABC transporter, ATP-binding protein	213
TIGR01278	DPOR_BchB: light-independent protochlorophyllide reductase, B subunit	512
TIGR01279	DPOR_bchN: light-independent protochlorophyllide reductase, N subunit	407
TIGR01280	xseB: exodeoxyribonuclease VII, small subunit	69
TIGR01281	DPOR_bchL: light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein	268
TIGR01282	nifD: nitrogenase molybdenum-iron protein alpha chain	466
TIGR01283	nifE: nitrogenase MoFe cofactor biosynthesis protein NifE	459
TIGR01284	alt_nitrog_alph: nitrogenase alpha chain	457
TIGR01285	nifN: nitrogenase molybdenum-iron cofactor biosynthesis protein NifN	433
TIGR01286	nifK: nitrogenase molybdenum-iron protein beta chain	516
TIGR01287	nifH: nitrogenase iron protein	275
TIGR01288	nodI: nodulation ABC transporter NodI	303
TIGR01289	LPOR: light-dependent protochlorophyllide reductase	315
TIGR01290	nifB: nitrogenase cofactor biosynthesis protein NifB	441
TIGR01291	nodJ: ABC-2 type transporter, NodJ family	253
TIGR01292	TRX_reduct: thioredoxin-disulfide reductase	300
TIGR01293	Kv_beta: voltage-dependent potassium channel beta subunit	319
TIGR01294	P_lamban: phospholamban	52
TIGR01295	PedC_BrcD: putative bacteriocin transport accessory protein	122
TIGR01296	asd_B: aspartate-semialdehyde dehydrogenase	339
TIGR01297	CDF: cation diffusion facilitator family transporter	285
TIGR01298	RNaseT: ribonuclease T	200
TIGR01299	synapt_SV2: synaptic vesicle protein SV2	742
TIGR01300	CPA3_mnhG_phaG: monovalent cation/proton antiporter, MnhG/PhaG subunit	97
TIGR01301	GPH_sucrose: sucrose/H+ symporter	476
TIGR01302	IMP_dehydrog: inosine-5'-monophosphate dehydrogenase	450
TIGR01303	IMP_DH_rel_1: IMP dehydrogenase family protein	475
TIGR01304	IMP_DH_rel_2: IMP dehydrogenase family protein	365
TIGR01305	GMP_reduct_1: guanosine monophosphate reductase	343
TIGR01306	GMP_reduct_2: guanosine monophosphate reductase	321
TIGR01307	pgm_bpd_ind: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	504
TIGR01308	rpmD_bact: ribosomal protein L30	55
TIGR01309	L30P_arch: ribosomal protein L30P	151
TIGR01310	L7: 60S ribosomal protein L7	236
TIGR01311	glycerol_kin: glycerol kinase	496
TIGR01312	XylB: xylulokinase	481
TIGR01313	therm_gnt_kin: carbohydrate kinase, thermoresistant glucokinase family	164
TIGR01314	gntK_FGGY: gluconate kinase	505
TIGR01315	5C_CHO_kinase: FGGY-family pentulose kinase	541
TIGR01316	gltA: glutamate synthase (NADPH), homotetrameric	449
TIGR01317	GOGAT_sm_gam: glutamate synthase, NADH/NADPH, small subunit	485
TIGR01318	gltD_gamma_fam: glutamate synthase, small subunit	467
TIGR01319	glmL_fam: conserved hypothetical protein	456
TIGR01320	mal_quin_oxido: malate dehydrogenase (acceptor)	482
TIGR01321	TrpR: trp operon repressor	94
TIGR01322	scrB_fam: sucrose-6-phosphate hydrolase	447
TIGR01323	nitrile_alph: nitrile hydratase, alpha subunit	189
TIGR01324	cysta_beta_ly_B: cystathionine beta-lyase	377
TIGR01325	O_suc_HS_sulf: O-succinylhomoserine sulfhydrylase	380
TIGR01326	OAH_OAS_sulfhy: O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	418
TIGR01327	PGDH: phosphoglycerate dehydrogenase	525
TIGR01328	met_gam_lyase: methionine gamma-lyase	391
TIGR01329	cysta_beta_ly_E: cystathionine beta-lyase	383
TIGR01330	bisphos_HAL2: 3'(2'),5'-bisphosphate nucleotidase	359
TIGR01331	bisphos_cysQ: 3'(2'),5'-bisphosphate nucleotidase	250
TIGR01332	cyt_b559_alpha: cytochrome b559, alpha subunit	80
TIGR01333	cyt_b559_beta: cytochrome b559, beta subunit	43
TIGR01334	modD: modD protein	277
TIGR01335	psaA: photosystem I core protein PsaA	752
TIGR01336	psaB: photosystem I core protein PsaB	734
TIGR01337	apcB: allophycocyanin, beta subunit	167
TIGR01338	phycocy_alpha: phycocyanin, alpha subunit	161
TIGR01339	phycocy_beta: phycocyanin, beta subunit	171
TIGR01340	aconitase_mito: aconitate hydratase, mitochondrial	745
TIGR01341	aconitase_1: aconitate hydratase 1	876
TIGR01342	acon_putative: putative aconitate hydratase	655
TIGR01343	hacA_fam: homoaconitate hydratase family protein	412
TIGR01344	malate_syn_A: malate synthase A	511
TIGR01345	malate_syn_G: malate synthase G	721
TIGR01346	isocit_lyase: isocitrate lyase	527
TIGR01347	sucB: dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex	404
TIGR01348	PDHac_trf_long: dihydrolipoyllysine-residue acetyltransferase	587
TIGR01349	PDHac_trf_mito: pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	437
TIGR01350	lipoamide_DH: dihydrolipoyl dehydrogenase	461
TIGR01351	adk: adenylate kinase	212
TIGR01352	tonB_Cterm: TonB family C-terminal domain	76
TIGR01353	dGTP_triPase: putative dGTPase	389
TIGR01354	cyt_deam_tetra: cytidine deaminase	126
TIGR01355	cyt_deam_dimer: cytidine deaminase	283
TIGR01356	aroA: 3-phosphoshikimate 1-carboxyvinyltransferase	415
TIGR01357	aroB: 3-dehydroquinate synthase	344
TIGR01358	DAHP_synth_II: 3-deoxy-7-phosphoheptulonate synthase	443
TIGR01359	UMP_CMP_kin_fam: UMP-CMP kinase family	185
TIGR01360	aden_kin_iso1: adenylate kinase	188
TIGR01361	DAHP_synth_Bsub: phospho-2-dehydro-3-deoxyheptonate aldolase	260
TIGR01362	KDO8P_synth: 3-deoxy-8-phosphooctulonate synthase	258
TIGR01363	strep_his_triad: streptococcal histidine triad protein	348
TIGR01364	serC_1: phosphoserine transaminase	358
TIGR01365	serC_2: phosphoserine aminotransferase	374
TIGR01366	serC_3: putative phosphoserine aminotransferase	361
TIGR01367	pyrE_Therm: orotate phosphoribosyltransferase	187
TIGR01368	CPSaseIIsmall: carbamoyl-phosphate synthase, small subunit	361
TIGR01369	CPSaseII_lrg: carbamoyl-phosphate synthase, large subunit	1052
TIGR01370	TIGR01370: extracellular protein	315
TIGR01371	met_syn_B12ind: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	754
TIGR01372	soxA: sarcosine oxidase, alpha subunit family	996
TIGR01373	soxB: sarcosine oxidase, beta subunit family	407
TIGR01374	soxD: sarcosine oxidase, delta subunit family	83
TIGR01375	soxG: sarcosine oxidase, gamma subunit family	152
TIGR01376	POMP_repeat: chlamydial polymorphic outer membrane protein repeat	28
TIGR01377	soxA_mon: sarcosine oxidase, monomeric form	381
TIGR01378	thi_PPkinase: thiamine pyrophosphokinase	206
TIGR01379	thiL: thiamine-monophosphate kinase	320
TIGR01380	glut_syn: glutathione synthase	312
TIGR01381	E1_like_apg7: E1-like protein-activating enzyme Gsa7p/Apg7p	663
TIGR01382	PfpI: intracellular protease, PfpI family	169
TIGR01383	not_thiJ: DJ-1 family protein	180
TIGR01384	TFS_arch: transcription factor S	101
TIGR01385	TFSII: transcription elongation factor S-II	300
TIGR01386	cztS_silS_copS: heavy metal sensor kinase	457
TIGR01387	cztR_silR_copR: heavy metal response regulator	218
TIGR01388	rnd: ribonuclease D	363
TIGR01389	recQ: ATP-dependent DNA helicase RecQ	591
TIGR01390	CycNucDiestase: 2',3'-cyclic-nucleotide 2'-phosphodiesterase	626
TIGR01391	dnaG: DNA primase	414
TIGR01392	homoserO_Ac_trn: homoserine O-acetyltransferase	351
TIGR01393	lepA: GTP-binding protein LepA	595
TIGR01394	TypA_BipA: GTP-binding protein TypA/BipA	594
TIGR01395	FlgC: flagellar basal-body rod protein FlgC	137
TIGR01396	FlgB: flagellar basal-body rod protein FlgB	131
TIGR01397	fliM_switch: flagellar motor switch protein FliM	320
TIGR01398	FlhA: flagellar biosynthesis protein FlhA	678
TIGR01399	hrcV: type III secretion protein, HrcV family	677
TIGR01400	fliR: flagellar biosynthetic protein FliR	245
TIGR01401	fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT	253
TIGR01402	fliQ: flagellar biosynthetic protein FliQ	88
TIGR01403	fliQ_rel_III: type III secretion protein, HrpO family	81
TIGR01404	FlhB_rel_III: type III secretion protein, YscU/HrpY family	342
TIGR01405	polC_Gram_pos: DNA polymerase III, alpha subunit, Gram-positive type	1211
TIGR01406	dnaQ_proteo: DNA polymerase III, epsilon subunit	231
TIGR01407	dinG_rel: putative DnaQ family exonuclease/DinG family helicase	889
TIGR01408	Ube1: ubiquitin-activating enzyme E1	1008
TIGR01409	TAT_signal_seq: Tat (twin-arginine translocation) pathway signal sequence	29
TIGR01410	tatB: twin arginine-targeting protein translocase TatB	80
TIGR01411	tatAE: twin arginine-targeting protein translocase, TatA/E family	47
TIGR01412	tat_substr_1: Tat-translocated enzyme	420
TIGR01413	Dyp_perox_fam: Dyp-type peroxidase family	323
TIGR01414	autotrans_barl: outer membrane autotransporter barrel domain	432
TIGR01415	trpB_rel: pyridoxal-phosphate dependent TrpB-like enzyme	419
TIGR01416	Rieske_proteo: ubiquinol-cytochrome c reductase, iron-sulfur subunit	176
TIGR01417	PTS_I_fam: phosphoenolpyruvate-protein phosphotransferase	565
